Datas;Usuários;Tweets
2020-03-20;zegon70;1
2020-03-20;AdsumP;1
2020-03-20;joanafalvess;1
2020-03-20;carsanchez19991;1
2020-03-20;EducacaoBRA;1
2020-03-20;renatorsp2000;1
2020-03-20;Flaviobusicchia;1
2020-03-20;MarcoBasile1;1
2020-03-20;Gra_Albino;1
2020-03-20;Laurx_szsx;1
2020-03-20;kaelenmartins;1
2020-03-20;agimediata;1
2020-03-20;_vetorea;1
2020-03-20;Vanessa_delcho;1
2020-03-20;Not_TodayArya;1
2020-03-20;clubefm;1
2020-03-20;felipegondacki;1
2020-03-20;catchimj;1
2020-03-20;BrenoLucca12;1
2020-03-20;labelledejour_;1
2020-03-20;felipe_grandin;1
2020-03-20;ateachermarta;1
2020-03-20;nalumelo_;1
2020-03-20;Pqpgabypqp2;1
2020-03-20;djalepeixoto;1
2020-03-20;joaovalente93;1
2020-03-20;OliveMel_;1
2020-03-20;ClaudiaBorin;1
2020-03-20;Crf_Karina19;1
2020-03-20;BeckIsBeutfiul;1
2020-03-20;SurikatoQuijano;1
2020-03-20;rainhadoguarana;1
2020-03-20;tribunaribeirao;1
2020-03-20;isaquexd;2
2020-03-20;DefesadaPatria;1
2020-03-20;AALANCARLOSS;1
2020-03-20;DudissBeckers;1
2020-03-20;Sadwalker1;1
2020-03-20;biaagss;1
2020-03-20;oinotna56;1
2020-03-20;jhon_red313;1
2020-03-20;BfrFernandes9;1
2020-03-20;analusouzax;1
2020-03-20;VictriaFerrant2;1
2020-03-20;amchalaca;1
2020-03-20;ageografa;1
2020-03-20;camilakkkkjjj;1
2020-03-20;SturtSilva;2
2020-03-20;palomamush;1
2020-03-20;countdown38;2
2020-03-20;Reidosreis12;1
2020-03-20;alagoasprev;1
2020-03-20;ragnarokkrr;2
2020-03-20;herecammy;1
2020-03-20;jcabralsobrinho;1
2020-03-20;Karensantos021;1
2020-03-20;quiVergonha;1
2020-03-20;fabianalr_;1
2020-03-20;sobotelha;1
2020-03-20;millenahenrii;1
2020-03-20;wchrysostomo1;1
2020-03-20;douglasmaxwel13;1
2020-03-20;putoneli;1
2020-03-20;juliocesaramor;3
2020-03-20;FilipeVillegas;1
2020-03-20;miriamelianaaa;1
2020-03-20;Nicolivianna;1
2020-03-20;KevinVenicius81;1
2020-03-20;lucrjviola;1
2020-03-20;desousa_julio;1
2020-03-20;NathanRMartins3;1
2020-03-20;Rodrigo_SilvaPT;1
2020-03-20;sooyabf;1
