Bigramas;Ocorrências;Tweets_Presente
('semanas', 'quarentena');600;600
('quarentena', 'governo');534;534
('carga', 'mascaras');571;571
('mascaras', 'testes');572;572
('testes', 'covid');1525;1502
('19', 'roubadas');571;571
('roubadas', 'sp');571;571
('sp', 'assim');571;571
('assim', 'chegaram');571;571
('chegaram', 'china');571;571
('china', 'polícia');571;571
('polícia', 'recupera');571;571
('recupera', 'carga');571;571
('carga', 'descobre');571;571
('brasil', 'ajuda');91;91
('ajuda', 'combater');82;82
('combater', 'coronavírus');82;82
('coronavírus', 'https://t.co/RSzMmEl0Gd');13;13
('após', 'mês');32;32
('mês', 'quarentena');85;85
('quarentena', 'epidemia');32;32
('epidemia', 'volta');32;32
('volta', 'expandir');32;32
('expandir', 'itália');32;32
('itália', 'vcs');32;32
('vcs', 'q');40;40
('q', 'entendem');32;32
('entendem', 'curva');32;32
('curva', 'curva');32;32
('curva', 'oms');32;32
('oms', 'di');32;32
('movimento', 'mundial');5;5
('mundial', 'contra');5;5
('contra', 'quarentena');53;53
('quarentena', 'perda');5;5
('perda', 'liberdade');5;5
('liberdade', 'divulguem');5;5
('divulguem', 'https://t.co/B6sKM244Mp');5;5
('ministro', 'paulo');1;1
('paulo', 'guedes');4;4
('guedes', 'quer');2;2
('quer', 'propor');1;1
('propor', 'antecipação');1;1
('antecipação', 'todos');2;2
('todos', 'feriados');2;2
('feriados', 'compensar');1;1
('compensar', 'dias');1;1
('dias', 'parados');1;1
('parados', 'isolamento');1;1
('isolamento', 'soci');1;1
('quarentena', 'https://t.co/Bputjo9mS5');3140;3140
('pegou', 'pegou');4;2
('pegou', 'chama');2;2
('chama', 'quarentena');2;2
('quarentena', 'gente');222;222
('gente', 'resolve');2;2
('resolve', '😉');2;2
('😉', '😈');2;2
('😈', '🔞');2;2
('🔞', '#ninfomaníaca');2;2
('#ninfomaníaca', '#gostosa');2;2
('#gostosa', '#acomp');2;2
('dia', 'https://t.co/KyfksBjaQ0');6;6
('fim', 'quarentena');118;118
('quarentena', 'podem');106;106
('podem', 'ir');59;59
('ir', 'pra');98;98
('pra', 'praia');61;61
('presidente', 'jair');80;80
