Bigramas;Ocorrências;Tweets_Presente
('quarentena', 'mandetta');4;4
('mandetta', 'faz');4;4
('faz', 'bom');4;4
('bom', 'trabalho');4;4
('demétrio', 'magnoli');35;35
('magnoli', 'fanáticos');34;34
('fanáticos', 'tolos');34;34
('tolos', 'enxergam');34;34
('enxergam', 'cloroquina');34;34
('cloroquina', 'pote');34;34
('pote', 'ouro');34;34
('ouro', 'fim');34;34
('fim', 'arco-íris');34;34
('arco-íris', 'https://t.co/0zQIcEBJid');19;19
('basicamente', 'tudo');6;6
('tudo', 'q');46;46
('q', 'to');25;25
('to', 'fazendo');10;10
('quarentena', 'https://t.co/fhpNQborbs');6;6
('voltando', 'jogar');83;83
('jogar', 'basquete');83;83
('basquete', 'quarentena');83;83
('quarentena', 'https://t.co/C7RYy52oIT');83;83
('exemplo', 'vem');1;1
('vem', 'argentina');1;1
('argentina', 'plataforma');1;1
('plataforma', 'desmentir');1;1
('desmentir', 'fakenews');1;1
('fakenews', 'sobre');1;1
('19', 'https://t.co/xnVbyRbdDP');1;1
('cura', 'pro');20;20
('pro', 'corona');27;27
('erupção', 'a-list');17;17
('a-list', 'entra');17;17
('entra', 'erupção');48;48
('erupção', 'todo');17;17
('todo', 'ano');18;18
('ano', 'pode');17;17
('pode', 'causar');18;18
('causar', 'tsuna');17;17
('aguento', 'ficar');15;15
('itália', 'recomendou');22;22
('recomendou', 'italianos');22;22
('italianos', 'brasil');26;26
('brasil', 'voltem');23;23
('voltem', 'pra');44;22
('lá', 'imediatamente');22;22
('imediatamente', 'voltem');22;22
('pra', 'itália');24;24
('itália', 'onde');23;23
('passar', 'vou');6;6
('vou', 'ser');2;2
('ser', 'própria');2;2
('própria', 'bela');1;1
('bela', 'bela');1;1
('bela', 'fera');1;1
('fera', 'cumprimentando');1;1
('cumprimentando', 'cantando');1;1
('cantando', 'todo');1;1
('torcida', 'contra');99;99
('contra', 'cloroquina');103;103
('cloroquina', 'corridinha');99;99
('corridinha', 'praia');99;99
('praia', 'c');99;99
('c', 'pânico');99;99
('pânico', 'tv');99;99
('tv', 'hipocrisia');99;99
('hipocrisia', 'gastança');99;99
('gastança', 'dinheiro');99;99
('dinheiro', 'público');100;100
('público', 's');99;99
('s', 'transparênci');99;99
('aí', 'puto');13;13
('puto', 'família');13;13
('família', 'sabe');13;13
('sabe', 'quarentena');23;23
('quarentena', 'maior');13;13
('maior', 'desejo');15;15
('desejo', 'ovo');13;13
('ovo', 'cabeludo');13;13
('cabeludo', 'vem');13;13
('vem', 'línguar');13;13
('línguar', 'saco');13;13
('saco', 'macho');13;13
('macho', 'cava');13;13
('odeio', 'coronavirus');3;3
('coronavirus', 'causa');4;4
('causa', 'vai');3;3
('ter', 'saia');3;3
('rodada', 'aqui');3;3
('aqui', 'bacabal');3;3
('bacabal', '😔');3;3
('😔', '😔');14;9
('fortaleza', 'paulo');9;9
('paulo', 'rio');24;24
('rio', 'devem');9;9
('devem', 'relaxar');9;9
('relaxar', 'isolamento');40;40
('isolamento', 'diz');6;6
('diz', 'saúde');8;8
('saúde', 'https://t.co/Xl7HggdJhP');6;6
('https://t.co/Xl7HggdJhP', 'via');6;6
('quarentena', 'amgs');7;7
('amgs', 'https://t.co/GYOEJCzyNb');7;7
('queria', 'fazer');5;5
('fazer', 'bagulho');2;2
('bagulho', 'p');1;1
('p', 'pessoa');1;1
('pessoa', 'lance');1;1
('lance', 'corona');1;1
('corona', 'visita');1;1
('visita', 'foda');1;1
('#conferenciadeprensa', '#coronavirus');313;313
('#coronavirus', '#covid19');368;368
('#covid19', '#quédateencasa');313;313
('#quédateencasa', '10');6;6
('10', 'abril');9;9
('abril', '2020');332;332
('2020', 'https://t.co/gM1m7kSaBP');6;6
('vai', 'lá');11;11
('lá', 'doutor');3;3
('doutor', 'cumpra');3;3
('cumpra', 'ordem');3;3
('ordem', 'governadores');3;3
('governadores', 'diretores');3;3
('diretores', 'hospitais');3;3
('hospitais', 'pra');3;3
('pra', 'colocar');4;4
('colocar', 'todo');3;3
('mundo', 'covid');23;23
('19', 'pra');4;4
('pra', 'inflar');3;3
('inflar', 'núme');3;3
('tô', 'sentindo');3;3
('sentindo', 'idiota');1;1
('idiota', 'levar');1;1
('levar', 'sério');1;1
('sério', 'quarentena');4;4
('quarentena', 'saio');3;3
('saio', 'casa');9;9
('casa', 'extrema');1;1
('extrema', 'necessidade');1;1
('necessidade', 'aconteceu');1;1
('aconteceu', 'tota');1;1
('boa', 'noite');65;65
('noite', 'marquem');1;1
('marquem', 'passariam');1;1
('passariam', 'quarentena');1;1
('quarentena', 'deixem');1;1
('deixem', 'like');1;1
('like', 'https://t.co/uCnRRy5IqH');1;1
('mande', 'repórteres');3;3
('repórteres', 'quarentena');3;3
('quarentena', 'https://t.co/UAM7oaJuPi');3;3
('anã', 'jardim');1;1
('jardim', 'linda');1;1
('linda', '♥');1;1
('♥', '️');25;23
('quer', 'ajuda');5;5
('ajuda', '😋');5;5
('😋', '🔥');5;5
('🔥', 'nessa');5;5
('quarentena', '🙀');5;5
('🙀', 'vendendo');5;5
('vendendo', 'pacotes');5;5
('pacotes', 'fotos');6;6
('fotos', 'vídeos');6;6
('vídeos', 'exclusivos');5;5
('exclusivos', 'sozinha');5;5
('sozinha', 'vizi');5;5
('mortes', 'https://t.co/kNYrTTiEDn');28;28
('vou', 'falar');44;44
('falar', 'coisa');44;44
('coisa', 'pesada');44;44
('pesada', 'aqui');44;44
('aqui', 'profissionais');44;44
('saúde', 'deveriam');44;44
('deveriam', 'entrar');44;44
('entrar', 'greve');44;44
('greve', 'nesse');44;44
('nesse', 'momento');53;53
('momento', 'caso');44;44
('caso', 'população');44;44
('hyundai', 'fez');46;46
('fez', 'vídeo');47;47
('vídeo', 'meninos');46;46
('meninos', 'bastidores');46;46
('bastidores', 'campanha');46;46
('campanha', 'because');46;46
('because', 'of');46;46
('of', 'you');46;46
('you', 'dicas');46;46
('dicas', 'ficar');46;46
('abri', 'vídeo');1;1
('sobre', 'pegadores');1;1
('pegadores', 'animes');1;1
('animes', 'super');1;1
('super', 'q');1;1
('q', 'conteúdo');1;1
('conteúdo', 'hetero');1;1
('hetero', 'topperson');1;1
('topperson', 'tô');1;1
('tô', 'aqui');3;3
('aqui', 'cagando');1;1
('🚨', 'darren');2;2
('darren', 'fará');2;2
('fará', 'participação');2;2
('participação', 'live');2;2
('live', 'começa');2;2
('começa', '21h');2;2
('21h', 'horário');2;2
('horário', 'brasilia');2;2
('brasilia', 'https://t.co/s4f4qfRUmq');1;1
('andar', 'carruagem');116;116
('carruagem', 'aguardo');116;116
('aguardo', 'noticiário');116;116
('noticiário', 'dizer');116;116
('dizer', 'pico');116;116
('pico', 'covid');118;118
('19', 'durará');116;116
('durará', 'bolsonaro');116;116
('bolsonaro', 'sofrer');116;116
('sofrer', 'impeachment');116;116
('covid', 'vulcão');60;60
('vulcão', 'bolsonaro');60;60
('bolsonaro', 'presidente');97;97
('presidente', 'dias');56;56
('dias', 'luta');112;56
('luta', 'dias');56;56
('joelma', 'sempre');2;2
('sempre', 'frente');2;2
('frente', 'tempo');6;6
('tempo', '#quarentena');2;2
('#quarentena', 'https://t.co/Xe5ZDpvl62');2;2
('verbas', 'destinadas');3;3
('destinadas', 'fins');3;3
('fins', 'específicos');3;3
('específicos', 'importantes');3;3
('importantes', 'saúde');3;3
('saúde', 'segurança');17;17
('segurança', 'educação');3;3
('educação', 'podem');3;3
('ser', 'desviadas');3;3
('desviadas', 'outros');3;3
('outros', 'fins');3;3
('globo', 'https://t.co/7F4gNVd…');3;3
('ditador', 'https://t.co/YEEsxqRiWu');16;16
('segundo', 'jornalista');51;51
('jornalista', 'compartilhou');51;51
('compartilhou', 'gravação');51;51
('gravação', 'pessoas');51;51
('pessoas', 'influenciadas');51;51
('influenciadas', 'discursos');51;51
('discursos', 'bolsonarismo');51;51
('bolsonarismo', 'contra');51;51
('contra', 'gravidad');51;51
('desobediente', 'isolamento');4;4
('isolamento', 'social');165;165
('social', 'bolsominions');4;4
('bolsominions', 'filhos');4;4
('filhos', 'ignorância');4;4
('ignorância', 'acreditam');4;4
('acreditam', 'existência');4;4
('existência', 'pacientes');4;4
('pacientes', 'coronavíru');4;4
('beijar', 'boca');27;27
('boca', 'pode');3;3
('pode', 'causa');4;4
('causa', 'corona');63;63
('vírus', 'alguém');3;3
('alguém', 'pesquisa');3;3
('pesquisa', 'sobre');5;5
('sobre', 'chupar');3;3
('chupar', 'pinto');1;1
('pinto', 'algum');1;1
('algum', 'problema');1;1
('força', 'guerreira');8;8
('guerreira', 'irmã');8;8
('coronavírus', 'https://t.co/zcfTB5Q6ud');8;8
('https://t.co/zcfTB5Q6ud', 'via');8;8
('considerando', 'informações');11;11
('informações', 'graças');11;11
('graças', 'irresponsabilidade');11;11
('irresponsabilidade', 'governo');11;11
('governo', 'sp');15;15
('sp', 'brasil');11;11
('brasil', 'escuro');11;11
('escuro', 'tere');11;11
('junior', 'bill');7;7
('bill', 'divertindo');7;7
('divertindo', 'família');7;7
('família', 'nessa');8;8
('quarentena', 'recriando');7;7
('recriando', 'comissões');7;7
('comissões', 'frente');7;7
('frente', 'carnaval');7;7
('carnaval', 'mostrando');7;7
('mostrando', 'am');7;7
('coronavirus', 'nao');2;2
('nao', 'aguenta');3;3
('aguenta', 'live');2;2
('live', 'slide');2;2
('slide', 'lucimar');2;2
('favela', 'corona');2;2
('corona', 'projeto');2;2
('projeto', 'leva');2;2
('leva', 'testes');2;2
('testes', 'máscaras');4;4
('máscaras', 'comunidadades');2;2
('comunidadades', 'https://t.co/F5HoWIr1lQ');2;2
('hoje', 'assim');1;1
('gente', 'covid');8;8
('19', 'delírio');3;3
('delírio', 'coletivo');7;7
('coletivo', 'tô');3;3
('tô', 'surtada');3;3
('surtada', 'pandemia');3;3
('pandemia', 'cu');3;3
('cu', 'mão');3;3
('mão', 'pegar');3;3
('pegar', 'vírus');3;3
('vírus', 'pq');5;5
('quarentena', '💥');1;1
('💥', 'https://t.co/cKu9XBYULc');1;1
('topico', 'off');1;1
('off', 'https://t.co/Jq1YJWDjIM');1;1
('https://t.co/Jq1YJWDjIM', '👆');1;1
('👆', 'projeto');1;1
('projeto', 'compartilhamento');1;1
('compartilhamento', 'computadores');1;1
('computadores', 'redor');1;1
('redor', 'mundo');4;4
('mundo', 'descobertas');1;1
('descobertas', 'á');1;1
('consulte', 'distribuição');3;3
('distribuição', 'geográfica');3;3
('geográfica', 'novos');3;3
('novos', 'equipamentos');3;3
('equipamentos', 'resposta');3;3
('resposta', 'pandemia');3;3
('pandemia', 'https://t.co/PwO2h1IlTK');3;3
('https://t.co/PwO2h1IlTK', '#covid19pt');3;3
('#covid19pt', '#covid19');3;3
('marca', 'amigo');14;14
('amigo', 'pra');16;16
('pra', 'dar');41;41
('dar', 'rolê');20;20
('rolê', 'assim');25;25
('assim', 'pós');14;14
('quarentena', 'https://t.co/CJew8OeIgK');14;14
('tamanho', 'subnotificação');35;35
('subnotificação', 'mortes');33;33
('covid', 'mg');33;33
('mg', '...');33;33
('...', 'agora');37;37
('agora', 'imagina');33;33
('imagina', 'resto');33;33
('resto', 'brasil');33;33
('brasil', 'https://t.co/zEbq9Err28');32;32
('poses', 'ficar');5;5
('ficar', 'fazendo');13;13
('fazendo', 'nada');15;13
('nada', 'nessa');9;9
('dar', 'diferenciada');5;5
('diferenciada', 'enjoar');5;5
('enjoar', 'coluninha');5;5
('coluninha', 'jaemin');5;5
('jaemin', 'h');5;5
('família', 'passa');4;4
('quarentena', 'unida');4;4
('unida', 'permanece');4;4
('permanece', 'cada');4;4
('cada', 'quarto');4;4
('quarto', 'isolamento');4;4
('isolamento', 'isolamento');5;5
('isolamento', 'né');4;4
('né', 'jane');4;4
('jane', 'p');4;4
('n', 'amiga');1;1
('amiga', 'ser');1;1
('ser', 'doida');1;1
('doida', 'ta');1;1
('ta', 'sangue');1;1
('sangue', 'cada');1;1
('fico', 'noia');1;1
('sr', 'presidente');3;3
('presidente', 'bolsonaro');50;50
('bolsonaro', 'dia');1;1
('dia', 'governadores');1;1
('governadores', 'acabarem');1;1
('acabarem', 'quarentena');1;1
('quarentena', 'vez');1;1
('vez', 'trucar');1;1
('trucar', 'encima');1;1
('#covid19', '#coronavírus');4;4
('#coronavírus', 'brasileiros');3;3
('brasileiros', 'encontram');3;3
('encontram', 'exterior');3;3
('exterior', 'recomenda-se');3;3
('recomenda-se', 'seguir');3;3
('seguir', 'orientações');3;3
('orientações', 'autoridades');3;3
('vassoura', 'teclado');19;19
('teclado', 'recife');19;19
('recife', 'corno');19;19
('corno', 'ai');19;19
('ai', 'sim');20;20
('sim', 'hein');23;23
('hein', 'cara');23;23
('cara', 'sorriso');19;19
('sorriso', 'desculpa');19;19
('desculpa', 'ser');19;19
('ser', 'homem');19;19
('homem', 'orochinho');19;19
('orochinho', 'macaco');15;15
('macaco', 'maconha');15;15
('maconha', 'tóxico');19;19
('tóxico', 'renato');15;15
('renato', 'coxinha');8;8
('2', 'nunca');1;1
('nunca', 'demais');1;1
('demais', 'lembrar');1;1
('lembrar', 'cada');1;1
('cada', 'momento');1;1
('momento', 'epidemia');1;1
('epidemia', 'covid');3;3
('19', 'trazendo');1;1
('trazendo', 'brasileiros');1;1
('brasileiros', 'apenas');1;1
('apenas', 'ame');1;1
('notícias', 'front');9;9
('front', 'unidade');9;9
('unidade', 'pronto');9;9
('pronto', 'atendimento');9;9
('atendimento', 'covid');9;9
('19', 'boiçucanga');9;9
('boiçucanga', 'sp');9;9
('sp', 'https://t.co/LefTjliVyf');9;9
('suécia', 'chegou');22;22
('chegou', 'pico');22;22
('pico', 'curva');347;347
('curva', 'fase');22;22
('fase', 'diminuição');22;22
('diminuição', 'contágio');22;22
('contágio', 'fechar');22;22
('fechar', 'empresas');29;29
('empresas', 'obrigar');22;22
('obrigar', 'qua');21;21
('nunca', 'horários');14;14
('horários', 'tão');14;14
('tão', 'trocados');14;14
('trocados', 'nesta');14;14
('cardiologista', 'roberto');1;1
('roberto', 'kalil');14;14
('kalil', 'alternativas');1;1
('alternativas', 'possam');1;1
('possam', 'salvar');1;1
('vidas', 'devem');1;1
('devem', 'ser');3;3
('ser', 'consideradas');1;1
('consideradas', 'podemos');1;1
('podemos', 'deixar');2;2
('aqui', 'vendo');1;1
('vendo', 'mostrando');1;1
('mostrando', 'rotina');1;1
('rotina', 'hospital');1;1
('hospital', 'nova');1;1
('nova', 'iorque');2;2
('iorque', 'diante');1;1
('diante', 'emergências');1;1
('emergências', 'covid');1;1
('19', '...');81;81
('definição', 'quarentena');19;19
('parece', 'povo');2;2
('povo', 'vai');12;12
('morrer', 'ficar');2;2
('ficar', 'ano');2;2
('ano', 'comer');2;2
('comer', 'ovo');2;2
('ovo', 'pascoa');2;2
('pascoa', 'filas');2;2
('filas', 'aglomeração');2;2
('aglomeração', 'compras');2;2
('compras', 'ovos');2;2
('ovos', 'alecrim');2;2
('perdi', 'conta');8;8
('conta', 'vezes');8;8
('vezes', 'chorei');8;8
('chorei', 'nessa');8;8
('necessário', 'descobrir');3;3
('descobrir', 'sendo');3;3
('sendo', 'beneficiado');3;3
('beneficiado', 'omissão');3;3
('omissão', 'acerca');3;3
('acerca', 'hidroxicloroquina');3;3
('hidroxicloroquina', 'algum');4;4
('algum', 'laboratório');3;3
('laboratório', 'p');3;3
('vsf', 'fdp');1;1
('fdp', 'fica');1;1
('casa', 'arrombado');1;1
('arrombado', 'caralho');3;3
('continuem', 'lotando');6;6
('lotando', 'ipê');6;6
('ipê', 'bom');6;6
('dia', 'propagadores');6;6
('propagadores', 'corona');6;6
('favor', 'fazer');7;7
('fazer', 'discurso');7;7
('discurso', 'ódio');7;7
('ódio', 'pode');7;7
('pode', 'chorar');7;7
('chorar', 'https://t.co/PEr7ZsjLZq');3;3
('sabe', 'sacada');2;2
('sacada', 'coreia');2;2
('coreia', 'primeiro');2;2
('primeiro', 'país');12;12
('país', 'usar');2;2
('usar', 'massivamente');2;2
('revolucionários', 'iphone');32;32
('iphone', '...');32;32
('...', 'mst');32;32
('mst', 'doa');51;51
('doa', '8');49;49
('8', 'toneladas');49;49
('toneladas', 'frutas');49;49
('frutas', 'legumes');49;49
('legumes', 'orgânicos');49;49
('orgânicos', 'pernambuco');49;49
('pernambuco', 'paraná');49;49
('sábado', 'pro');1;1
('pro', 'show');3;3
('show', 'matheus');3;3
('matheus', 'kauan');8;8
('kauan', 'raí');1;1
('raí', 'saia');1;1
('rodada', 'gusttavo');1;1
('lima', 'quarentena');6;6
('quarentena', 'tava');8;8
('tava', 'ensoca');1;1
('deixo', 'aqui');6;6
('aqui', 'avisado');6;6
('avisado', 'responsabilizo');6;6
('responsabilizo', 'atos');8;8
('atos', 'primeiro');6;6
('role', 'pós');17;17
('quarentena', 'escutar');6;6
('escutar', 'marca');6;6
('marca', 'p');6;6
('baixei', 'tt');1;1
('tt', 'pra');1;1
('ver', 'faço');1;1
('faço', 'algo');1;1
('bom', 'nessa');2;2
('quarentena', 'aaa');13;13
('aaa', '#lgbtquarantine');1;1
('#lgbtquarantine', 'https://t.co/9YKus0qSsK');1;1
('paulo', 'acordou');62;62
('acordou', 'saiu');61;61
('saiu', 'golpe');61;61
('golpe', 'covid');78;78
('19', 'imagens');54;54
('imagens', 'hoje');54;54
('hoje', 'sábado');56;56
('sábado', 'https://t.co/D9Obq4fkRQ');41;41
('provoca', 'aglomerações');1;1
('aglomerações', 'cês');1;1
('cês', 'disseram');1;1
('disseram', 'q');2;2
('q', 'perdeu');1;1
('perdeu', 'todo');1;1
('todo', 'apoio');2;2
('apoio', 'aprovação');1;1
('aprovação', 'hm');1;1
('hm', 'https://t.co/yEl2NDqcao');1;1
('1', 'vs');5;5
('vs', 'dia');5;5
('dia', '30');12;12
('30', 'https://t.co/rSE8VC69vf');5;5
('chegando', 'noite');1;1
('noite', 'casa');4;4
('casa', 'primeiro');1;1
('primeiro', 'rolê');71;71
('rolê', 'pós');60;60
('vezes', 'silêncio');19;19
('silêncio', 'quarentena');19;19
('fico', 'imaginando');19;19
('imaginando', '2');19;19
('2', '...');19;19
('...', 'https://t.co/alAZONYZVA');19;19
('vo', 'morrer');2;2
('morrer', 'saudade');2;2
('saudade', 'n');2;2
('n', 'corona');10;10
('preciso', 'beijar');3;3
('beijar', 'pessoa');7;7
('pessoa', 'q');19;19
('q', 'quero');16;16
('quero', 'beijar');6;6
('largando', 'casa');1;1
('casa', 'acabar');1;1
('️', 'atenção');36;36
('atenção', 'galerinha');31;31
('galerinha', 'psol');31;31
('psol', 'cia');31;31
('cia', '‼');31;31
('️', 'associação');31;31
('associação', 'americana');31;31
('americana', 'pulmão');31;31
('pulmão', 'comprovou');31;31
('comprovou', 'fumar');31;31
('fumar', 'maconha');31;31
('maconha', 'aumenta');31;31
('aumenta', 'riscos');31;31
('riscos', 'c');31;31
('venha', 'quarentena');1;1
('quarentena', 'vip');1;1
('vip', 'fire');1;1
('fire', '🔥');1;1
('🔥', 'vai');1;1
('vai', 'pagar');43;43
('pagar', 'apenas');1;1
('apenas', 'adesão');1;1
('adesão', 'add');1;1
('add', 'mensalidade');1;1
('mensalidade', 'agora');1;1
('ah', 'relatórios');6;6
('relatórios', 'nomes');6;6
('nomes', 'números');6;6
('números', 'celular');6;6
('celular', 'dados');6;6
('dados', 'quantitativos');6;6
('quantitativos', 'qualitativos');6;6
('qualitativos', 'ninguém');6;6
('ninguém', 'avançando');6;6
('avançando', 'n');6;6
('2100', 'mortos');3;3
('covid', 'eua');3;3
('eua', 'único');3;3
('dia', 'assistir');3;3
('assistir', 'queda');3;3
('queda', '5');3;3
('5', 'boeings');3;3
('boeings', '767');3;3
('767', 'cada');3;3
('cada', '24');3;3
('resto', 'quarentena');14;14
('ser', 'mca');1;1
('mca', '😌');1;1
('😌', '😌');1;1
('ninguém', 'qualquer');1;1
('qualquer', 'ser');1;1
('ser', 'humano');19;19
('humano', 'decente');1;1
('decente', 'últimos');1;1
('últimos', 'anos');1;1
('viva', 'liberalismo');1;1
('liberalismo', 'detroit');1;1
('detroit', 'doentes');1;1
('doentes', 'morrer');1;1
('morrer', 'corredor');1;1
('corredor', 'hospital');1;1
('hospital', 'https://t.co/RM2qRi2CTy');1;1
('https://t.co/RM2qRi2CTy', 'via');1;1
('militante', 'dizia');1;1
('dizia', 'coronavírus');1;1
('coronavírus', 'mata');1;1
('mata', 'manifestações');1;1
('manifestações', 'agora');1;1
('agora', 'pede');1;1
('pede', 'oração');1;1
('oração', 'avó');1;1
('avó', 'internada');1;1
('internada', 'estado');2;2
('estado', 'grave');3;3
('grave', 'ht');1;1
('maioria', 'pacientes');1;1
('pacientes', 'covid');49;49
('19', 'morre');1;1
('morre', 'após');2;2
('após', 'ser');6;6
('ser', 'colocado');1;1
('colocado', 'ventiladores');1;1
('ventiladores', 'taxa');1;1
('mortalidade', 'chegando');1;1
('chegando', '79');1;1
('casais', 'começaram');11;11
('começaram', 'formar');11;11
('formar', 'durante');11;11
('quarentena', 'começaram');12;12
('começaram', 'conversar');11;11
('conversar', 'construir');11;11
('construir', 'história');11;11
('história', 'durante');11;11
('durante', 'es');11;11
('➡', 'presidente');27;27
('presidente', 'colocando');27;27
('colocando', 'brasileiros');28;28
('brasileiros', 'grave');28;28
('perigo', 'incitá-los');28;28
('incitá-los', 'seguir');28;28
('seguir', 'distanciamento');27;27
('lula', 'mentirosos');38;38
('mentirosos', 'bolsonaro');38;38
('bolsonaro', 'servirão');38;38
('servirão', 'mundo');38;38
('mundo', 'pós');38;38
('pós', 'coronavírus');38;38
('coronavírus', 'brasil');33;33
('brasil', '247');4;4
('247', 'https://t.co/hciPdY1WGc');1;1
('quarentena', 'https://t.co/rcpNZv6DRY');3;3
('quarentena', 'obriga');3;3
('obriga', 'https://t.co/S1tcvCgHga');1;1
('renato', 'coxinh');7;7
('24', 'dias');1;1
('dias', 'tocantins');1;1
('tocantins', 'registrou');1;1
('registrou', '25');1;1
('25', 'casos');1;1
('19', 'seguintes');1;1
('seguintes', 'cidades');1;1
('cidades', 'palmas');1;1
('palmas', '15');1;1
('15', 'araguaína');1;1
('araguaína', '6');1;1
('6', 'gurupi');1;1
('gurupi', '1');1;1
('1', 'paraí');1;1
('campinas', 'sp');6;6
('sp', 'internada');6;6
('internada', 'sumaré');6;6
('sumaré', 'bem');6;6
('bem', 'próximo');6;6
('próximo', 'sangue');6;6
('sangue', 'conhecer');6;6
('conhecer', 'alguém');6;6
('informamos', 'exame');15;15
('exame', 'diagnóstico');15;15
('diagnóstico', 'covid');17;17
('19', 'realizado');15;15
('realizado', 'governador');15;15
('governador', 'deu');63;63
('deu', 'inconclusivo');15;15
('inconclusivo', 'refeit');16;16
('tá', 'fazer');8;8
('mal', 'sanidade');4;4
('sanidade', 'mental');69;69
('boris', 'johnson');5;5
('johnson', 'difícilmente');1;1
('difícilmente', 'volverá');1;1
('volverá', 'pronto');1;1
('pronto', 'al');1;1
('al', 'trabajo');1;1
('trabajo', '#borisjohnson');1;1
('#borisjohnson', '#coronavirus');1;1
('#coronavirus', 'https://t.co/0nQGzlUb5Z');1;1
('continuem', 'fazendo');34;34
('fazendo', 'resenha');58;58
('resenha', ':)');33;33
(':)', 'ninguém');33;33
('ninguém', 'levando');33;33
('levando', 'sério');43;43
('mortes', 'https://t.co/oHS7ABcy8G');18;18
('hospitais', 'encherem');43;43
('encherem', 'governadores');43;43
('governadores', 'justificarão');43;43
('justificarão', 'todos');43;43
('todos', 'gastos');43;43
('gastos', 'todas');43;43
('todas', 'atitudes');43;43
('atitudes', 'ditatoriais');43;43
('nunca', 'quarentena');6;6
('quarentena', 'certamente');2;2
('certamente', 'longas');2;2
('longas', 'justamente');2;2
('justamente', 'culpa');2;2
('culpa', 'pessoas');2;2
('pessoas', 'tão');6;6
('tão', 'egoís');2;2
('amenizar', 'prejuízos');3;3
('prejuízos', 'causados');5;5
('causados', 'covid');16;16
('19', 'concederemos');3;3
('concederemos', '3');3;3
('3', 'meses');10;10
('meses', 'isenção');3;3
('isenção', 'pagamento');3;3
('pagamento', 'energia');3;3
('ditadória', 'liberando');5;5
('liberando', 'bandidos');5;5
('bandidos', 'cadeia');7;7
('cadeia', 'sobrar');5;5
('sobrar', 'espaço');5;5
('espaço', 'prender');5;5
('prender', 'população');7;7
('população', 'cumpre');5;5
('cumpre', 'quarentena');8;8
('quarentena', '#unidos');5;5
('brasil', 'combatendo');5;5
('combatendo', 'apenas');5;5
('apenas', 'doença');5;5
('doença', 'combatendo');5;5
('combatendo', 'duas');5;5
('duas', 'covid');5;5
('19', 'bolsonarismo');5;5
('refleti', 'nessa');2;2
('quero', 'conheço');2;2
('conheço', 'interior');2;2
('interior', 'tudo');2;2
('tudo', 'quero');4;4
('quero', 'quero');2;2
('ai', 'vejo');1;1
('vejo', 'hora');57;57
('hora', 'falar');3;3
('falar', 'quero');1;1
('quero', 'voltar');7;7
('voltar', 'pro');2;2
('pro', 'trabalho');3;3
('trabalho', 'logo');1;1
('logo', '...');1;1
('...', 'agiliza');1;1
('agiliza', 'aiii');1;1
('aiii', 'quarentena');1;1
('tá', 'acumulando');1;1
('acumulando', 'sdds');1;1
('defendendo', 'amigo');1;1
('amigo', 'mulheres');1;1
('mulheres', 'atacam');1;1
('atacam', 'https://t.co/tiJe9i4VEy');1;1
('boa', 'notícia');209;209
('notícia', 'coalizão');86;86
('coalizão', 'centros');86;86
('centros', 'médicos');86;86
('médicos', 'coordenada');86;86
('coordenada', 'hospital');86;86
('hospital', 'alemão');86;86
('alemão', 'oswaldo');86;86
('oswaldo', 'cruz');99;99
('cruz', 'iniciará');86;86
('iniciará', 'segunda-feira');86;86
('segunda-feira', 'u');86;86
('dia', '17/02');2;2
('17/02', 'protocolo');2;2
('protocolo', 'pra');2;2
('pra', 'uso');2;2
('uso', 'hidrox');2;2
('representante', 'comércio');1;1
('comércio', 'câmara');1;1
('câmara', 'xangai');1;1
('xangai', 'rapazinho');1;1
('rapazinho', 'pego');1;1
('pego', 'máscaras');1;1
('teste', 'contra');1;1
('19', 'c');5;5
('fazer', 'letícia');1;1
('letícia', 'quebrar');1;1
('quebrar', 'quarentena');20;20
('quarentena', 'dizer');3;3
('dizer', 'mãe');1;1
('mãe', 'vai');5;5
('vai', 'fazer');64;64
('fazer', 'pavê');1;1
('agradeço', 'todos');2;2
('dias', 'ser');2;2
('ser', 'filha');2;2
('filha', 'única');3;3
('única', 'aguentava');2;2
('aguentava', 'mm');2;2
('mm', 'quarentena');4;4
('quarentena', 'sozinha');2;2
('professor', 'unair');1;1
('unair', 'tupinambas');1;1
('tupinambas', 'faculdade');1;1
('faculdade', 'medicina');1;1
('medicina', 'ufmg');1;1
('ufmg', 'rechaça');1;1
('rechaça', 'falacioso');1;1
('falacioso', 'discurso');1;1
('discurso', 'zema');1;1
('zema', 'segundo');1;1
('segundo', 'co');1;1
('vamos', 'esquecer');6;6
('esquecer', 'wilson');4;4
('wilson', 'witzel');5;5
('witzel', 'psc');4;4
('psc', '–');4;4
('–', 'rj');4;4
('rj', 'jogando');4;4
('jogando', 'ralo');4;4
('ralo', 'r');4;4
('r', '10');4;4
('milhões', 'desenvolver');4;4
('desenvolver', 'aplicativo');4;4
('aplicativo', 'celular');4;4
('efeitos', 'secundários');2;2
('secundários', 'quarentena');1;1
('quarentena', '🙄');2;2
('🙄', '😂');1;1
('vc', 'xinga');20;20
('xinga', 'bolsonono');20;20
('bolsonono', 'fica');20;20
('fica', 'agrupando');20;20
('agrupando', 'grupinho');20;20
('grupinho', 'amigo');20;20
('amigo', 'retardado');20;20
('retardado', 'meio');20;20
('quarentena', 'dois');22;22
('dois', 'dá');22;22
('quer', 'comprar');5;5
('comprar', 'máscara');5;5
