user,text,created_at
aqui_jaz_mim,"minha mãe tá mt paranóica com esse negócio do Corona, daqui a pouco ela manda eu pedir demissão kdkfjskd q agonia dessa história mano",2020-03-20
jjonkies,"É, mesmo com caso confirmando na minha empresa, eles lacraram apenas o andar onde o contaminado com COVID-19 estava e seguimos trabalhando. Agora estão “estudando” a possibilidade de liberar mas eu me recuso a ir e já fui “ameaçada” de demissão e desconto do salário é certo",2020-03-20
ShaiPaiva,Eu tô surtando ao ponto de pensar em pedir demissão por causa do coronavirus,2020-03-20
mttlim,"os clientes pedindo pra suspender a conta por causa do corona
e old q vamos de demissão https://t.co/0HrwRK1mRe",2020-03-20
