user,text,created_at
francinne_oliv,"Maninho demitido por causa do corona, ta foda esse vírus 😒😔",2020-03-20
vhmolinar,"As empresas TEM SIM de mandar os funcionários pra casa. Mas muitos funcionários precisarão entender que provavelmente serão demitidos.
Não tem jeito.",2020-03-20
Martalsb,"estou percebendo que a ESQUERDA, a extrema esquerda, o centrão se uniram colocando terror! Estão fechando hotéis, estabelecimentos quebrando, os trabalhadores sendo demitidos! Esse vírus vai matar mais que o corona vírus, isso pra enfraquecer o governo de @jairbolsonaro",2020-03-20
ffusee,"Sextooou, meus tinkwinky
Mete uma vitamina nos peito
Fica em casa
Vamo se ajudar
Concentra no trabalho pra n ser demitido
Afoga o coronavirus no ódio desse coraçaozinho
Pau no cu do biruleibe",2020-03-20
aquxnx,"demitido ✌🏻😘

 obrigado corona!!",2020-03-20
