user,text,created_at
jairotorresani,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
TellesCelso,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
TvzeiroCos1,"RT @jornalistavetv: Também segundo o Ricco, a Xuxa, por meio de uma de suas franquias, vai fazer a modesta doação de R$ 1 milhão para o SUS…",2020-03-20
mariseelisii,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
perllacastilho,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
Alessan01631490,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
cristina222222,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
ivone_lms,@PompeodeMattos @wevertonrocha Boa! Que seja uma doação eficaz para fortalecer o combate ao Covid-19!,2020-03-20
Michell45178406,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
MrioPA1,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
Ezequia08737097,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
