;num_tweets
‘estimular;1
contágio’;1
Política;4
Valor;1
@mariozinholago;45
Provavelmente;41
Marinha;42
quatro;79
fragatas;39
9,1;39
@Pe_dro777;1
nome;76
10.3-;6
laboratórios;57
prontos;7
comprimidos;9
@isabellalloira1;1
Aquela;5
bruta;1
negao;1
@pantheranegra45;1
momentos;23
🔥😈;2
ti;5
@broadagro;1
seguro-desemprego;1
@EaeVianna;3
Saudades;32
Provenza;3
esclarece;4
Sociedade;6
Brasileira;7
TT's;1
comemorei;1
KKK;3
Achei;3
empacotado;1
ex-presidente;1
@biapiovezana;2
ate;36
brota;2
chifre;4
cabeça;82
assistindo;19
virá;59
igreja”;57
Fórum;59
PBH;1
contrata;1
enfermeiros;16
suspeitos;22
domicílio;1
https://t.co/KqFuNeuHYr;1
@opropriopontes;11
implementação;6
fascismo;7
verdadeiro;22
TRIBUNAL;5
EXCEÇÃO;5
@yuritsk;1
criatividade;4
@cesarc95;1
irão;8
@HelemAzevedo;6
raiva;25
@laraa_spaa;13
BBC;4
desacreditá-la;2
@rockwtraccoon;13
coreografia;14
deslizo;13
encaixa;13
perfeitamente;13
sharpay;13
@Lindasod;4
Entre;7
rápidos;38
termômetros;5
matérias;7
utilizados;3
@andreoli69;6
vulcões;7
Círculo;6
Fogo;8
Oceano;6
Pacífico;6
trocaram;6
mensagens;8
WhatsApp;10
decidiram;6
@ChicoPinto8;11
canalha;32
eleição;27
Voto;8
@heloisto;2
bacteria;2
microbio;9
empato;2
atraso;2
@pedriinhoo_14;1
@vittor_92;1
és;2
gajo;2
top;10
cnt;1
@giuwithg;1
circle;1
mensagem;55
escreve;3
paro;3
deitada;7
hashtag;2
axé;1
socorro;3
@10_5_6_5;13
envolvidos;23
fabricação;20
laudos;15
farão;15
@rebelbia_;11
motivos;29
precoce;15
precarização;11
existente;12
@ydianaduarte;2
Covid-0;2
@pcampistals;9
mudou;15
conceito;19
pipipipopopo;9
luan;22
santana;14
twitcam;9
@andidy;7
falarem;6
@buqbia;1
salão;4
merece;10
@soghetti;8
tomadas;9
celerado;7
@carolineninfeta;7
tesao;9
base;25
gato;26
@chandlewr;38
obrigados;39
conviver;42
hrs;39
juntos;72
@LuadeCriztal;10
primo;28
sete;16
pensador;10
Apesar;9
@essadebora;2
xarope;3
IDIOTA;3
@SdmPerson;6
chá;30
limão;29
corona-virus;6
tar;13
beber;77
@HBFox3;2
fudi;4
apaixonada;9
Pqp;3
@fatooufake;5
#FAKE;5
mostre;5
comboio;5
carregando;5
corpos;22
https://t.co/NIhUu0pcJq;5
@belaalmadinha;49
repensar;16
reclamei;16
@BonnerMVP_;18
Lembre-se;18
virar;67
Doc;18
Hudson;18
Relâmpago;18
McQueen;18
ensinar;20
@carloscigliano;3
@Luuhmoreiraa_;1
@petitabell;1
@djongadorge;6
arrecadamos;6
92;7
Serra;7
conjunto;8
Maria;20
esperando;49
irregularidades;6
armazenamento;6
Instituto;462
Adolfo;7
Lutz;25
aciona;6
@pqpmendigo;1
rever;2
devastadora;1
@UsielRios;1
Assista;11
CRISE;3
DEFENDE;1
FIM;2
BLOQUEIOS;1
ECONÔMICOS;1
@O__Oyg;4
décadas;7
Washington;11
Post;10
convidado;4
mísera;4
@clnoamorim;1
rabo;3
@_rafaelcoimbra;1
origem;3
meme;6
'carregadores;3
caixão';6
ganhou;7
popularidade;4
@knnovioIet;3
pentagon;3
HORAS;4
podiam;13
braba;17
+;112
capacidade;5
Brasileiras;1
@carlosfiscal248;1
quarentena🤔;1
@emanuelenunes05;18
Revolução;3
Chega;101
Fora;33
Doriana;7
@protazio_;1
@sandymosconi;2
esclareceu;2
qq;8
@ocrentesincero;28
igreja;32
@bbcbrasil;31
#MaisLidas;6
virologista;6
Atila;6
Iamarino;6
defende;13
deveria;24
@VladimirAras;6
investigação;4
epidemiológica;3
fabulosa;2
Alemanha;119
🇩🇪;6
Poços;1
Caldas;1
460;3
km;3
Belo;20
Horizonte;19
apostou;1
humor;107
alertar;2
moradores;28
@israpedro;1
enchendo;3
#ButecoEmCasa;17
#LivedosBrutos;1
@siteptbr;22
RAINHA;23
jornal;35
Dia”;23
Claudia;41
Leitte;40
adiantou;22
passem;23
@ZNC_Oficial;3
ficarei;4
tocarem;3
LARGADO;3
ÀS;4
TRAÇAS;3
amanhã;33
18H00;3
😅😂🤣;3
@ghumell;1
cansada;9
queeeeeerrrrr;1
@b_dias17;1
Desde;10
@JairRoberto32;1
Embaixador;4
tem@que;1
@AliceTomazzetti;3
carlos;3
decepcione;3
@rafinhabastos;1
SBT;1
cantora;1
Ludmilla;12
“pobre;1
macaca”;1
mini-craque;1
nazista;6
@AGazetaES;5
Médicos;25
concordam;3
decisão;20
fechado;5
ES;5
➡️https://t.co/h23qO7Bic9;3
Especialistas;5
@DELLAFANCY;13
quarentena?💋💄;1
#DontRushChallenge;1
#DragQueenMagic;1
#LoveIsAllWeNeed;1
imensa;36
emergentes;35
Ah;28
evolução;7
Dashboard;1
Debate;1
parceira;1
@ericportoo;1
@ismaelsousa;2
Todas;7
noites;6
divulgaremos;2
boletim;9
atualizado;5
curadas;12
reconhecimento;3
ha;15
oposto;14
Bozo;34
séria;23
@tantotupiassu;58
adorando;12
@jc_pe;3
Nada;16
Via;5
Sacra;2
religioso;2
missas;3
@daysnt;1
Resumo;1
@micheeelib;3
marcela;8
=;13
bbb;16
ganhando;26
prêmio;4
gabi;3
destaque;3
realizar;9
@mergulhana;20
Isso;83
colega;29
Upas;20
assinar;26
atestado;29
Conselho;11
Regional;7
publicar;10
Resolução;7
101;9
recomendando;8
possa;13
@toledomn;1
SURTAR;2
sinceramente;10
@fefaagoulart;1
massa;18
@BeccaJB38;12
identificado;9
Civil;16
ligado;15
Câmera;9
Comércio;29
Brasil-China;12
@joaomelo_ao;2
Angola;20
houve;16
Impediu;2
ida;8
UTI';2
Chefe;2
cardiologia;2
Sírio-Libanês;3
@alvarolima12344;1
lute;12
@_gmazzei;1
laryssa;1
lethicia;1
thiellen;1
resenhas;2
juntas;23
@lucasandphil;1
cansado;6
https://t.co/nev4SDlbgH;1
@Diegor_Barros;2
@DotadaoPaulista;2
@onlyXXXguys;1
@Andropoves;1
OK;2
Transforma;1
especificamente;1
@tuitadiogo;1
cultura;8
sbt;1
@ceviana05;1
@kamillyaquino;2
recebeu;24
sala;11
dela;26
@CarlaFr17495094;1
quarentena...conseguindo;1
marquinha;1
conferir;2
#gpfortaleza;1
#musaclass;1
@msilt;16
cheguei;25
acreditar;30
@CogLinus;5
imunes;7
avisou;19
aglomerados;16
hehehe;7
@vic_fonseca;1
Tentando;2
apagar;6
brilho;2
bebê;5
✌🏼;1
@h1bertus;1
MAMAR;1
@jogouondejuvena;5
@joaovcds;1
LONGE;4
@JheniPereiira;1
merdas;2
barbeiro;1
@xxalebel;6
ENTENDAM;6
FÉRIAS;6
COLOQUEM;6
CABEÇA;6
VOCÊS;12
PORQUE;9
QUANDO;12
SAEM;6
ESTÃO;20
PONDO;6
RISCO;6
@FMouraBrasil;7
“Pessoas;4
dessas;35
pouco;68
mesmas;4
lamentando;4
Procuro;6
@antoniocostapm;4
Ultrapassado;2
impasse;2
Eurogrupo;2
abre-se;2
@EUCouncil;2
Amigo;14
@bianchin_pietro;15
11/04/20;19
4.000.000.000;15
planeta;26
estiveram;23
expostas;15
160dd;15
1.600.000;15
@hxrhodex;7
@JMTrevisan;1
Caralho;5
anunciaram;1
@EnergyLs;7
catuaba;7
Comemoração;7
MC;11
Pikeno;7
@Astro_Pontes;4
#MCTICnoCOMBATE;2
Rede;3
Conectada;2
#MCTIC;2
prestadores;2
internet;25
fixa;2
Principais;3
@estadoisrael;4
#Portaaviones;4
#EEUU;4
reporta;6
550;4
marines;4
bordo;4
contagiados;4
@rickylhpaiva;1
Coitado;4
cadastrou;1
Querem;24
eleger;17
@davidzz425;1
@Cebi237;1
@flaviogordon;12
surpresa;48
“fique;11
beautiful;9
people;9
lhes;15
apreende;87
roubado;122
queriam;21
Bicho;3
aprender;19
tweets;2
vereriditos;2
@_rsbatista;1
@c_rafm;1
@andreaugfonseca;1
@Moutta_Lucas;1
@alcysio;1
@waynestate;3
@HFHIntMedRes;3
tupiniquim;1
@danizn_;1
querer;35
raspar;8
@karinebellomo;1
mapa;2
adeus;3
defendeu;5
quebra;25
@PyongLeeTV;5
One;5
Piece;3
anime;4
protagonista;3
Grande;19
programação;4
Luffy;1
@jessicacaroof;3
@gaabi_evelyn;1
tocando;5
pois;62
calor;42
tomando;29
brejas;1
Oa;1
visse;2
(Quer;1
@OsvladPereira;15
Nunes;16
Porque;59
@Theusffc_;8
acabasse;13
@moniqueamiga;5
trata;24
festas;22
Zika;66
Covid-18;62
considerada;62
delegada;3
Elisabete;35
Sato;35
relembrou;3
sequestrado;3
ligações;4
@g_g_garci;23
Favelas;20
abandonaram;19
subir;19
mandar;90
@Alanghani;9
pedalada;9
fiscal;32
diferença;32
traz;19
danos;18
econômicos;15
@leichtweisduda;10
trouxe;14
Thread;44
Dos;47
Ambientes;10
Cafonas;10
@valamideuso;1
@SottoSusana1;1
Karma;1
socialzinhas;1
@ingridfborges;1
cervejinha;6
batatinha;1
tb;13
físicos;13
recomendável;14
https://t.co/dklQWofpSX;12
@analusbruzzi;1
sinto;47
inútil;4
@Nauakk__;1
Story;1
saindo,é;1
@mario_mrsilvio;1
@DulceKarolSweet;1
vizinho;13
achava;4
feriado;11
Reunião;1
parentes;10
regado;1
Cinco;11
biografias;11
tentar;57
agitada;11
Órgão;11
MP;10
@ilumitture;9
amizades;26
@allmeida_ritta;2
@brunisbrubis;1
proporcionar;4
@MarianaBelem;2
Ué;7
vinha;3
@Mcrebeccaofc;456
Posso;464
@nathvarg;1
chame;1
😝💖;1
@jwxst;6
adorar;6
monitora;8
localização;6
respectivo;6
@dog_rand;1
Acho;53
esqueci;4
peço;27
desculpas;6
desabafar;3
difícil;28
@burgoeduarda;1
Loucuras;3
@g0ncal0duart3;15
convidar;16
pastilha;15
@maariblanes;1
just;1
@arroobaeu;1
@anabentivoglio;7
tl;13
@Antonio902Car;1
valor;34
milionário;1
1.5;1
@pegoncalves;20
socialmente;20
@rollingstoneBR;3
entreter;3
fãs;8
Johnny;2
Marr;2
ensina;6
tocar;13
clássicos;2
Smiths;2
Veja;15
@arauj0xz;2
@kaicktoagli;11
ADIANTARAM;11
SALÁRIOS;11
passarem;11
dificuldades;19
@capitaoderrite;1
Sgt;1
Ivo;1
reformado;1
Militar;52
76;1
1º;83
contrair;17
Ourinhos;1
pertencente;1
negocia;2
bi;6
municípios;7
@patriciapillar;2
Semana;9
animada;3
infames;2
deste;61
chegarão;2
@oficialtaloX;6
seguimos;16
@fernao_berthold;5
@victoriacoelho;1
VONTADE;1
faze;13
churrascao;2
cerveja;36
@ocaosblues;2
fodida;3
regular;4
sono;12
@suzanaklautau;10
desenhar;13
hj;50
evolui;11
SER;28
TESTADO;10
PARA;49
@eae_sm1th;1
nóia;1
pegarem;5
@andreiadejesuus;1
Aguardando;1
@RomeuZema;12
agir;11
eficiente;5
TESTAR;16
@UltrajanteSinc1;2
comandou;2
@annacbomfim;1
chata;31
Friends;17
@claraoliveiraar;1
aglomerar;6
@deltanz;7
otimistas;8
@natygarridoo;1
@_mecorrea;1
visto;16
noção;10
@mxcxrc;1
aturar;5
@eogeber;1
sla;5
@belemtransito;4
UPA;7
Marituba;4
faleceu;9
Prefeitura;22
@Marcelo_ducorte;1
@fernandapsol;6
Todo;37
p/combater;1
derrotá-lo;1
antigas;8
bases;12
sustentação;1
@cirogomes;3
Irresponsável;3
expondo;14
transformando;4
pária;3
@Stefanybolivei1;3
@tudocncowner;3
dou;9
#HoneyBoo10M;5
Link;7
https://t.co/IkCUuAdU81;3
@apegocamacho;3
🤪🤪🤪🤪😂😂😂😂😂😂😂😂😂;7
@marisaono;1
Protesto;3
devo;9
amar;8
distância;9
@lolaescreva;26
UFSC;22
Br;23
concluíram;20
Bolso;22
contribuíram;20
@hospicio_brasil;3
Pastores;4
neopentelhos;2
acharam;4
referências;4
bíblico;2
merecimento;2
@geo_aalves;1
quarentena??🥴;1
@malvados;11
ciência;28
sabemos;23
Darwin;12
vence;12
@lore_loriss;3
cool;4
obedecendo;21
VOCÊ;31
UM(A);3
BABACA;6
IRRESPONSÁVEL;5
CARALHO;12
@FusaroZila;10
tipos;21
https://t.co/LBmj2ro2Zv;4
@renas_27;4
Devia;5
malta;5
Eufémia;4
sofá;5
@MandyReverse;6
comprando;11
anúncios;4
sites;10
adotando;4
táticas;4
lembram;6
campanhas;6
@Transito_RJO;2
#RDRJ;1
https://t.co/Xsk8ad8Dv5;1
@Lucasjdss;1
@gechelle;1
coleção;5
Laico;1
#ForaBolsonaroGenocida;1
#FiquemEmCasa;3
@correio;11
36;1
https://t.co/WZydL4v2ym;1
@NathanSalustre;1
Sejamos;2
sinceros;7
supermercados;17
@oibeatrizl;1
impressionante;13
independente;3
gênero;3
musical;2
@LarissaRosado;1
lideranças;4
femininas;2
https://t.co/k2mEEBPhEr;1
@yvestupefy;1
fc;1
participante;2
icon;1
👉🏾👉🏾VAMOS;76
COMPARTILHAR;76
NOTÍCIAS;77
+370MIL;76
venceram;76
#depheliolopes;76
#minhacoréobrasil;76
@jcdsssa;1
Seguimos;14
⚡️🍻🍆😈;1
@g1piaui;1
Padre;2
imprime;1
fiéis;4
cola;2
bancos;13
Piauí;1
inclui;2
estaduais;3
G1;18
Retuítem;10
dó;14
esfregar;11
@GovSC;13
#GovernoSC;4
prorrogou;8
perceber;75
cumprindo;10
@RenataFM;30
Socorro;48
riachuelo;28
(rj);28
mentira;38
@3870Andre;12
bebedeiras;12
vais;15
@anandaabm_;1
meche;1
consolidou;50
estadista;51
fabricar;51
@brunaforrtunato;2
exatamente;21
@urrewang;1
xx;1
refiz;1
josh;1
@dalacoostee;1
@AdsumP;4
https://t.co/iDA84T9VOs;1
@marciotsantos;8
manipularem;8
gerando;8
@alisboa05;6
@RacaNegra;7
preparando;14
21/04;7
18h;14
Raça;7
Negra;7
@joaorock;2
Dado;2
Bonfá;2
Legião;2
Urbana;2
#JoãoRock;2
precisava;6
"&lt;3";6
Realmente;22
Fazemos;20
@AtlVeloso;1
convite;6
Gustavinho;1
@personagemfodaa;11
Sabadou;14
@Ricar_ddo;3
dono;10
afiliada;3
PB;3
Começou;7
sofreu;5
parada;18
@amandamelllis;1
sombria;11
@nogueiradrielle;1
olho;8
@GustaChagas;7
@lucianoPCdoB;1
tirou;15
abraçou;1
pública;128
Teimosia;1
@RedeTV;2
#COVIDー19;25
@gislainekk;1
siririca;4
bate;32
enforca;1
puxa;3
@ladycodeine;1
TENHO;2
AMIGA;3
GOSTOSA;2
DEUSA;1
@MovAvanteBrasil;5
Carreata;9
Dezenas;5
@_thiagoct;1
Bicha;1
odio;7
PUTA;18
PARIU;4
BRASILEIRO;2
@1dudagodinho_;11
apago;23
Davi;13
admitiu;11
HCQ;11
13/03;10
verídica;10
pesquisador;10
@raoult_didier;11
@mateusdscardoso;31
departamento;31
Ohio;31
explicando;39
Certeiro;31
Lamentável;8
indignado;5
CRIME;5
RACISMO;5
chamado;12
instalação;5
@tweetsdazueira;1
entrou;8
ativou;25
Chile;2
ANAK;1
@peclat16;1
@granolete;1
ENTRETENIMENTO;1
@RenanBertolinoo;1
fzr;4
frevo;1
andre;1
@paulocesar_br;1
Justo;1
19h57;1
@LOQUILLOPANAMA;1
@marelmoura;2
gostar;9
sertanejo;29
@NeoRedPillBack;52
DENÚNCIA;20
PACIENTES;23
TRANSFERIDOS;20
FORÇA;21
Trago;20
transcrição;20
sequência;21
áudios;21
@BorbaNadyne;1
@GuiJibao;1
pronúncia;1
frequentemente;1
sinais;6
estuda;8
REVOLUÇÃO;2
AMIGO;10
@behdelrey;1
@cauazin38;1
soh;1
@catossss;6
@thedangerousmjj;3
Michael;6
#Cuba❤️🇨🇺;2
#SolidaridadSiBloqueoNo;2
cuban@s;2
janelas;2
varandas;2
@guinapolitano;19
Vivendo;15
Quais;19
próximas;33
🤔😜;15
@fogoxrl;1
STAND;1
BY;1
BEAUTIFUL;1
GIRLS;1
mashup;1
ben;3
king;1
sean;1
kingston;1
@anavelhoo;1
piano;1
confere;1
@Egocentricpapi;1
Aproveita;4
kiunga;1
@0tavio0;11
curioso;13
Taiwan;11
(que;13
disparado;11
lockdown);11
@isalreadyinuso;1
Pesquisa;8
@tasagozarneh;1
“N;1
@GuigoGomes1;1
bichano;1
cheio;33
@jonasxtf;1
pfv;12
@gabiisgouveia;1
Alô;52
sertanejos;3
“cada;2
@faela8520;4
Ô;6
DENUNCIAR;4
INTERIOR;4
RIO;4
ITAOCARA;4
SANTO;4
ANTONIO;4
PÁDUA;4
ADJACÊNCIAS;4
anti-COVID-19;18
@gabi_alpha7;61
fez-me;63
indispensáveis;61
@douglasdamasc;1
@levieiraprof;9
artes;11
Música;12
cinema;15
literatura;9
design;9
@markomello;4
registro;4
burro;6
insistindo;7
inacreditável;86
circula;103
redes;147
sociais;148
bastasse;86
@LanaZiegra;1
lição;4
pesquise;1
@rrcyd7;4
(????);5
permaneço;4
💞;4
@DomDasThreads;27
14)A;1
Nancy;1
Pelosi;1
#CoronaVirus;2
eleições;2
✅;12
item;3
#Qanon;1
pura;5
@luhrviana;1
feia;17
@ClaudiaCostin;1
universidade;33
@jenidiass;1
carrefour;1
@leticiaagaarcia;1
@ModeradorN;3
🔴;3
Cappuccino;3
Homenagem;3
Bolsonaristas;43
respeitam;8
#BosoNero;3
@JusticaGovBR;7
Nota;12
@funaioficial;8
@h1maristela;2
⚠️⚠️;2
CHINA;34
MENTE;3
denúncia;9
GRAVÍSSIMA;2
CREMESP;2
@olhardigital;21
Empresas;6
pretendem;8
tecnologia;14
permitir;7
saibam;9
passaram;4
contaminado;7
@4ndyRodrigues;4
Oh;15
https://t.co/oGsJgZPgZu;4
completo;18
@craolis;1
sofro;1
ex;15
ficante;2
castiga;4
@Dyjay13;3
915*;2
@camila_abdo;2
NOVE;2
SEIS;2
ouvi;10
declarações;5
48%;4
dado;15
oficial;55
@JordanFariaLima;2
Concordo;5
roleta;2
@aeldroid;2
https://t.co/tmhaawnFfE;2
calma;17
roubando;12
´Brumadinhos´;1
coluna;23
repórter;11
idem;7
@rubensvalente;3
@denisdearruda;1
técnicos;1
min;14
esforço;9
covid-19,mas;1
pres;1
@pancccake;1
capacho;20
@FredLAFernandes;1
Tabagismo;1
aflige;1
stress;1
@FR_BSB;8
estatísticas;15
=&gt;9
conheça;6
@whereisge;1
@Mmoreirabarreto;3
@criticanac;4
procede;5
@shaidersolutt;8
trombando;7
marquei;9
@digolei;5
@Asnitix;1
acompanho;3
estilo;30
Sandy;2
Júnior;1
fazerem;5
@iollinda;5
fogo;55
cy;5
Países;2
LIÇÕES;1
DIÁRIAS;1
NOS;6
DEVEMOS;1
PORTAR;1
@helenbraun_;8
entrevistas;10
duras;10
Diogo;23
27;35
possuía;8
crônicas;16
@gvnnlmd;1
otária;1
@marcus__zuck;2
@luizsetreno;8
@bacuriinha;2
old;4
chatissimo;2
@giselyyina;1
CANALHAS;23
Chama;26
Crime;43
#BolsonaroTemRazaoSim;26
@larifernandesx;1
Devido;38
quarentena😉;1
@biaugusto2;1
reproduzimos;1
cena;16
rafa;4
flay;4
@bi_sigilo;1
Ainda;34
quebrei;1
linguada;1
@amandamoraes500;1
VÍRUS;21
235;2
148.000;1
desempregados;3
@jornal21brasil;1
usarem;2
JORNAL;1
@r0naldojunior;2
MEU;33
NIVER;1
HJ;2
GUSTTAVO;9
MANDA;1
ALÔ;1
RONALDO;1
JOAO;2
PESSOA;6
ABS;1
SALVANDO;1
desrespeitar;14
@edusilvafogo;10
Bope;5
60%;10
@_hpmarques;1
Showzin;1
bh;31
@sgalkimim;2
storie;9
longe;23
próxima;22
@Bruno14411;4
toleravam;4
@NiltonGzCardoso;10
chegada;13
unir;19
impor;12
@mpzgod;1
birutassoooo;1
paralelepípedo;1
registrado;14
provando;8
'só;6
gripe';6
@gioduarteg;3
PRECISO;34
GENTEEE;3
AGLOMERAÇÃO;8
ÁLCOOL;3
@joaolebre11;6
@SexoIogo;13
entediado;7
Somos;38
pesquisando;17
analisando;21
nível;70
municipal;17
estadual;17
@BlogdoWelbi;2
Anhembi;3
Pacaembu;3
47;9
internados;18
@IKeffer;18
@lanabuny;7
meta;19
bucetinha;1
rosinha;9
🔥🔞;2
15)Os;1
esquerdistas;2
usam;7
pretexto;5
insegurança;1
votar;5
e-mail;1
@socioambiental;62
“Os;10
acontecimento;10
negligência;10
parente;21
diretamente;20
luvas;3
macacão;2
hospitalar;17
gel;61
@OnaRuda2;2
conhece;14
esclarecer;5
dúvidas;5
receber;28
cuidados;10
@ViniPedroza_san;2
~🇺🇸;2
Hey;3
Everybody!!!✨;2
•;20
those;2
quarantine;9
times;4
I;42
remembered;2
that;3
simple;2
sketch;2
sad;2
girl;2
made;3
some;7
time;20
23:59;1
orienta;6
clínicas;1
@BlaBlalogia;4
derrotar;3
apps;3
rastreamento;5
contatos;6
peraí;3
trocar;10
@tatyaguiar12;6
António;7
Bezerra;6
periferia;7
Vão;12
@Jrodrigues1954;5
Jornalista;9
debocha;6
pequeno;6
@Gabrie3ll;3
@oxehlkahlo_;1
@pcbrjpartidaor1;1
bloqueio;13
Cuba;4
Socialista;1
#ComPCB;1
@youpericlod;1
brigando;11
decidir;2
erradica;1
#Krakatoa;14
@CatarinaGomes96;1
vossa;15
parou;16
bolos;3
@odailson_ucb;5
Cristo;11
sexta;26
domingo;26
@Pettersonfarias;7
apoiar;16
incita;7
arrasadora;7
fardo;9
buscar;14
Podem;6
IGNORAR;1
tweet;23
postei;7
VIVO;6
CORES;2
MANIFESTAÇÃO;2
@igoraraujojj;4
Mendetta;1
Maia;6
eleitoral;10
DEM;1
cavalo;1
Tróia;1
@VoltaPT13;2
prefeituras;3
barreira;5
@llarinhax;1
@fernandaimamura;15
eterna;18
rinite;18
BOLSONARO;7
RAZÃO;1
https://t.co/fe0z7n6scE;1
@ogarotodo69;8
passivo;11
oloko;8
😯🙈🔥🔃❤️;8
Vídeo;52
@Fabiomarbinho;2
alemã;2
minimize;2
ganha;7
diploma;2
😳😳😳;2
chacota;2
@aiiigabi;4
Gizelly;5
IVY;4
AS;16
AMIGAS;6
@adrianodgf;1
longo;2
audiência;2
alcançava;1
@CurtindoMuitoBr;5
vazias;9
SQN😈😈😈;5
@macsanto787;7
80%;14
eleitores;42
Análise;14
significativa;13
@kadashi_sensei;1
namoro;22
automaticamente;1
webnamoro;3
@RAquaristaBh;4
Londres;5
@cislimper;9
linhares;9
sente;36
vontades;9
@marivarella;4
@drauziovarella;9
importante;32
reconhecer;4
incansável;8
equipe;36
@AlyAlyBr;1
Aly;1
assaltos;1
@princesseiIish;2
dani;1
péricles;2
bbb20;2
vadia;2
bot;2
hot;1
nsfw;6
porno;1
lésbica;3
fada;1
sensata;1
tinder;5
@camilotaxp;1
Carolzinha;1
👊🏻💥;1
direct;1
insta;5
@Boscardin;16
Bosca;6
Art;9
Terão;6
prioritário;6
@loud_gs;4
bb;8
cuida;8
@thegizelly;3
GANHAR;6
DINHEIRO;6
INTERNET;4
DURANTE;3
THEARD;3
@nataliaflake;6
@gaiovicz2;1
LADRÃO;1
AÍ;7
VÃO;5
ATÉ;14
RABO;1
POUCA;1
VERGONHA;5
@amyexemplar;8
BOIOLAS;8
conhecem;9
lgbtfix;8
GRATUITA;8
lgbt;8
@ParkMirian;31
-possível;31
-covid-19;31
ferrou;34
economias;31
-dólar;31
@ClaroHele;2
Procura-se;2
dividir;1
@Carlosvonlaer;3
Desabafo;3
Jamais;4
achei;8
aconteceria;4
@leisdelaurita;1
dnv;13
@joseilan;11
idoso;23
fumou;11
esterco;11
orégano;11
Sai;16
tio;29
@marianapma;4
garganta);4
acesse;4
@ArielCoutt;1
@changeskarla;3
@guilhermegrandi;3
espanto;3
#vaipassar;3
@alexlimareal;1
@cuzao0;1
reprovado;1
perder;51
terceirao;2
@MSF_brasil;1
MSF;1
#Espanha;1
recebam;1
paliativos;1
@commwn;45
Cmdte;1
(PSL-SC);1
ovacionado;2
oficialmente;7
Péssimo;2
poponetes;2
@RCCelta;1
ISTO;16
TAMÉN;1
AFOUTEZA;1
💙;8
club;1
#FundaciónCelta;1
unha;2
honra;1
un;2
orgullo;1
acoller;1
ás;3
persoas;1
día;1
loitan;1
@cIapivarinha;1
específica;1
atividade;19
@japa_dot;3
Subindo;3
@DepJuscelino;1
1.140;5
termos;6
chegado;1
Global;7
cujas;2
obrigatoriamente;2
seguidas;2
@SapaLizei;8
tantos;15
@fiscaldoibama;1
NIÓBIO;4
PICA;1
X;12
DOIS;1
80KM;1
@FalaLuiz21;6
28789;6
@nafraviaaa;1
Espero;42
tenha;30
whats;3
@NillMaster;15
Geral;38
Shangai;16
Preso;17
Contrabando;15
@RenanSparrow;1
16);2
Eleitor;1
precisará;1
identificar;5
cédula;1
votação;1
Esquerda;2
@TioOrochi;17
remove;17
video;31
contestaçao;17
tamo;27
flw;17
@crfdavi_;17
@judssu;13
bbemi;13
sedento;14
@jvzinhogoess11;16
tals;21
venho;71
@congemfoco;38
#DuquedeCaxias;12
respiratórios;13
recusou;12
sofre;13
ataques;3
racistas;4
atender;18
@_lukrinhas;1
otário;1
certinho;6
@anna_helenarf;1
@kacianvrr;1
@yungtired;1
prometido;4
void;3
mudar;22
pensamento;9
@taentendida;2
Entendidas;1
Segunda;1
c/VÍDEO;1
NOVO;7
p/movimentar;1
19h15;1
esquece;1
aleatório;17
chamarem;28
@defesacivilsg;4
DEFESA;6
CIVIL;4
SG;6
INFORMA;4
Emitido;4
20h;7
*Casos;4
suspeitos*;4
1420;4
confirmados*;4
@aosfatos;12
AR;11
pontos;5
https://t.co/jzVXOEuIwN;1
#coronavirusfacts;1
@NBonaro;2
Enlouqueceram;2
@_adrianex;3
@PaulinhaBraun;4
Definitivamente;5
esqueceu;11
voltava;4
hortifruti;4
@lalexandra_;1
@em_com;37
reforça;28
BH;34
projeção;44
Edifício;24
JK;41
'Fiquem;24
casa';24
#coronavirusBH;24
#noticiasBH;23
@cmilaprfect;2
@dudumedv;3
b.o;3
poderiam;7
estacionamento;3
filme;30
@boyseboysbr;2
~;3
Lisboa;3
Olá;13
Divos;2
Divas;2
cuidando;57
conferiram;1
oitavo;2
episódio;4
@caputile;1
lembra;12
esperei;2
coreia;1
namorava;1
@realitysempre1;4
@pedronapolitano;6
unidos;7
dona;7
Thelma;7
@Mara56980224;3
heim;7
escondida;4
@Umfetichegay;1
Butantã;1
dm;8
@virginiaduailib;1
Saiu;11
atualização;4
🤦🏻‍♀️;1
Noticiou;1
solidário;12
@ortegopolis;1
tira;20
Conclusão;1
decretou;7
sertaneja;3
Publicações;3
reúnem;3
compartilhamentos;3
enganam;3
afirmar;5
gestão;19
averiguada;4
👇🏻;2
@S12Leonor;1
🤩;2
qro;14
date;9
bêbada;10
apaixonadamente;5
@patriciaoficcia;1
@wilsonwitzel;12
https://t.co/zEAtOjvzh7;1
ninguem;2
#ForaWitzel;3
#ImpeachmentDoWitzel;1
@santabullshit;1
cabo;8
follow;2
trick;2
#followtrick;2
sdv;7
pornô;4
+18;2
gostosas;2
ifb;5
bts;7
prior;5
@scenesitcom;1
estao;12
maratonando;1
malhação;1
@PessoasSurtando;18
Pássaro;18
Surtando;18
maratonar;3
atualizar;1
Corre;2
QUINTO;1
SEXTO;1
anunciou;6
detentos;1
pintura;2
faixas;2
Belém;73
@tremxlua;1
diabética;3
colesterol;1
@BiologiaBraba;27
banal;27
saiba;41
Passar;27
@PCY__Universe;3
[🐾];3
necessária;7
salva;13
firmes;3
seguros;9
@Brummers1851;1
senhor;28
fanfarrão;1
