;num_tweets
São;1638
está;2463
reunindo;104
nata;57
cidadão;72
patriota;52
temente;50
amante;50
@manaus_pop;8
Número;67
novos;60
casos;947
diminuindo;9
Amazonas;54
🙏;14
Quarta;12
168;8
Quinta;11
95;9
Sexta;9
82;11
Sábado;70
68;25
@Vieira2La;227
Mulher;403
morreu;293
pneumonia;267
médico;503
colocou;257
virus;347
família;510
cima;235
hospital;723
PSM;214
EM;403
BELÉM;214
@desiretodie;1
consigo;21
entender;67
vc;299
estão;736
parece;111
são;1205
loucos;2
FICA;16
CASA;86
@pqplaurina;2
@EnockFormiga;2
Letalidade;4
Taxa;2
mortalidade;4
continua;166
abaixo;33
média;78
14º;2
número;727
Coreia;283
fez;471
Isolou;124
superprotegeu;124
grupo;202
risco;414
Não;905
fechou;203
restaurante;125
empresa;137
@brunnosarttori;75
Imagina;93
assistir;187
esse;1045
vídeo;984
fumando;84
cloroquina;2429
@ilecoutinho;33
além;99
31/05;35
SE;108
VOCES;36
CONTINUAREM;35
FURANDO;36
MERDA;42
DA;205
QUARENTENA;270
SEUS;45
@meltedvideos;8
fazendo;580
@coimbraricardo;67
Detalhes;67
1);82
babaca;68
tentando;303
emplacar;67
ato;166
desobedIência;67
civil;79
mas;1724
reflexo;67
gado;112
tão;600
forte;87
Líderes;1
após;132
sua;741
reunião;5
videoconferência;2
emitem;1
declaração;371
confirmando;1
frente;140
econômica;23
@SuzyVitoria1;115
-Saiu;76
fisiopatogenia;76
-A;77
lesão;76
ele;624
provoca;107
hemoglobina;88
precisa;137
plasmódio;73
malária;131
@paginaseria;72
quase;347
terceira;573
guerra;385
Fevereiro;174
Março;150
barulho;80
céu;148
Abril;165
Vulcao;72
Krakatoa;164
@collucciclaudia;20
Estudo;127
feito;149
Manaus;214
aponta;201
alta;166
dose;147
associada;119
@Dr_Luis_Antonio;103
Urgente;128
Chinês;247
preso;201
arsenal;105
armas;111
teste;237
@olltiibabe;1
sonho;8
nunca;237
ia;154
ficar;708
@AK_JUNINNN;1
É;1155
TÁ;29
ME;57
DEIXANDO;2
ENTEDIADO;1
COM;54
@jairbolsonaro;707
Hoje;390
estivemos;234
Águas;335
Lindas/GO;234
onde;421
Governo;398
Federal;298
investe;236
auxílio;241
governo;565
Goiás;238
200;241
leitos;364
@youthvante;7
meus;287
três;191
moods;7
nessa;1927
representando;7
jung;7
hoseok;29
KKKKKKKKK;11
@t_e_i_t_e_i;33
solicitação;34
renda;109
análise;90
ovo;84
páscoa;48
caro;51
pagar;99
fatura;33
saber;111
@dbelemlopes;150
🛑;145
IMPORTANTÍSSIMO;147
Acaba;181
divulgado;167
estudo;321
conduzido;146
pesquisadores;181
dos;1910
EUA;678
sobre;1397
uso;781
hidroxicloroquina;868
@denisendo;1
Acabou;22
todo;706
mundo;1369
encontrou;4
farsa;15
coronga;47
@renataaevelyn;1
Pós;24
quero;707
várias;22
tattos;2
até;1047
fechar;166
@mafilipadr;75
Está;199
aperceba;75
certas;92
fazem;114
falta;230
@analise_covid19;52
Novidade;3
área;41
recente;3
apontando;17
entendimentos;2
SARS-CoV-2;4
gera;5
quadro;7
@JosendeGustavo;4
@EmbaixadaChina;544
@valllima;106
Valdomiro;109
pede;276
acabando;161
igrejas;126
Ajuda;109
acima;132
cem;110
reais;143
Deixe;114
gargalhada;109
@alexandregarcia;460
Excelente;373
sugestão;371
desses;427
cientistas;532
for;467
assine;368
@luciano_hang;139
velha;138
mídia;561
manipular;134
você;971
Google;139
nos;1323
depende;136
época;150
mudam;134
opinião;139
@blogdosakamoto;10
negacionista;44
rechaça;5
existência;30
basta;90
isolar;9
idosos;88
@lyukat91;3
n;586
respeitando;67
direito;62
va;6
cu;98
foda;87
MUITO;15
fase;35
@Jokbede2;142
Governador;214
MG;136
reconvoca;61
militares;65
reserva;68
pensar;125
psicólogo;64
destes;61
Resultado;75
marido;142
@biazitagomes;36
Rio;150
votou;36
peso;24
bolsonaro;143
fica;245
