;Palavras
Polícia recupera;571
recupera a;571
a carga;581
carga e;571
e descobre;571
descobre que…;571
@SenadorKajuru China;13
Brasil como;107
como ajuda;91
ajuda para;83
para combater;98
combater o;125
o coronavírus;396
coronavírus https://t.co/RSzMmEl0Gd;13
@GFiuza_Oficial Após;32
Após um;32
um mês;81
mês de;319
quarentena a;524
a epidemia;54
epidemia volta;32
volta a;36
a se;66
se expandir;32
expandir na;32
na Itália;118
Itália Vcs;32
Vcs q;34
q entendem;32
entendem de;32
de curva;32
curva que;33
que curva;32
curva é;32
é essa;38
essa A;33
A OMS;40
OMS di…;32
@Mac2019USA Movimento;5
Movimento mundial;5
mundial contra;5
contra a;967
a perda;6
perda de;12
de nossa;7
nossa liberdade;6
liberdade DIVULGUEM;5
DIVULGUEM https://t.co/B6sKM244Mp;5
@charbelnovo O;1
O Ministro;15
Ministro Paulo;1
Paulo Guedes;4
Guedes quer;2
quer propor;1
propor a;1
a antecipação;2
antecipação de;2
de todos;52
todos os;1005
os feriados;2
feriados para;1
para compensar;1
compensar os;1
os dias;802
dias parados;1
parados pelo;1
pelo isolamento;1
isolamento soci…;1
@Kayzascar Minha;3140
Minha quarentena;3158
quarentena https://t.co/Bputjo9mS5;3140
@DianaNinfomana1 Quem;2
Quem Pegou;2
Pegou ;4
 Pegou;2
Pegou Quem;2
Quem não;16
não Pegou;2
 chama;2
chama depois;2
depois da;626
quarentena que;94
que a;1580
a gente;477
gente resolve;2
resolve 😉😈🔞;2
😉😈🔞 #ninfomaníaca;2
#ninfomaníaca #gostosa;2
#gostosa #acomp…;2
@sherloxkholmes quarentena;6
quarentena dia;174
dia ;89
 https://t.co/KyfksBjaQ0;6
@gabsmoreiraa Fim;58
Fim de;58
quarentena podem;58
podem ir;58
ir pra;93
pra praia;61
@depheliolopes O;1
O Presidente;4
Presidente Jair;1
Jair Bolsonaro;104
Bolsonaro determinou;1
determinou ao;1
ao @MInfraestrutura;1
@MInfraestrutura atuar;1
atuar em;1
em apoio;5
apoio aos;1
aos estados;1
estados na;1
na logística;1
logística de;1
de distribuição;27
distribuição de;29
de in…;1
@RaquelStasiaki Estamos;77
Estamos em;90
em plena;209
plena Páscoa;77
Páscoa reclusos;77
reclusos pela;77
pela quarentena;124
quarentena imposta;87
imposta pelo;77
pelo coronavírus;107
coronavírus e;114
e sendo;79
sendo bombardeados;77
bombardeados por;77
por notícias;77
notícias ruins;178
ruins por…;77
@lollasaggiomo O;173
O representante;180
representante da;180
da província;180
província de;180
de Xangai;286
Xangai -;180
- MARCOS;180
MARCOS ZHENG;180
ZHENG é;180
é responsável;189
responsável pelo;180
pelo ROUBO;180
ROUBO de;180
de 2;271
2 milhões;760
milhões de;827
de máscaras;1065
máscaras testes;191
testes de;809
de covid…;174
@So_DeusnosSalva URGENTE;119
URGENTE PODE;119
PODE TER;119
TER envolvimento;119
envolvimento diplomatico;119
diplomatico Presos;119
Presos chineses;119
chineses em;119
em deposito;119
deposito que;119
que tentavam;119
tentavam vender;119
vender por;119
por 3;123
3 milhoes;119
milhoes carga;119
carga roubada…;119
@AraciPatriota Delegado;319
Delegado Guerra;319
Guerra se;319
se passou;319
passou por;327
por comprador;319
comprador Zeng;319
Zeng e;319
e quadrilha;319
quadrilha pediram;319
pediram R$;319
R$ 4;805
4 milhões;805
milhões pela;319
pela carga;319
carga Mas;319
Mas na;319
na hora;421
hora “H”;319
“H” Dr;319
Dr Nico;319
Nico e;319
e E…;319
@tah_viapiana Afrouxamento;89
Afrouxamento da;101
quarentena por;156
por coronavírus;180
coronavírus ameaça;100
ameaça antecipar;100
antecipar colapso;100
colapso de;100
de hospitais;110
hospitais Mortes;89
Mortes triplicaram;89
triplicaram em;89
em uma;152
uma semana;108
semana ritmo…;89
@deinhaASL Para;5
Para animar;5
animar o;5
o sábado;5
sábado de;37
de ALELUIA👇;5
ALELUIA👇 'Quem;5
'Quem confia;5
confia em;5
em Deus;5
Deus o;5
o corona;327
corona vai;26
vai voltar;8
voltar a;28
a ser;167
ser marca;5
marca de;16
de chuveiro.';5
chuveiro.' Ânimo;5
Ânimo que;5
a liberd…;5
@dianamzy tava;271
tava mm;271
mm a;282
a precisar;271
precisar desta;271
desta informação;271
@greysanatombei eu;12
eu minha;12
minha quarentena;191
quarentena tá;306
tá sendo;154
sendo muito;14
muito produtiva;12
produtiva a;12
quarentena produtiva;12
produtiva https://t.co/KvLujGyki7;12
@K4DU_o @CrissMantovani;1
@CrissMantovani @thereallbatman;1
@thereallbatman @imfeelingthiz;1
@imfeelingthiz @felipeneto;1
